Metadata	Feature	Value	Coefficient	N	N.not.0	P.value	Q.value
Urban2	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Muribaculaceae|D_5_CAG-873	B	-0.00240661395233172	177	81	0.000105677629554237	0.0518524902346125
Urban2	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Muribaculaceae	B	-0.00816568893058784	177	170	8.03407684585646e-05	0.0518524902346125
Urban2	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales	C	-0.00242463180888343	177	177	8.46575869606083e-05	0.0518524902346125
Urban2	D_0_Bacteria|D_1_Proteobacteria|D_2_Gammaproteobacteria|D_3_Betaproteobacteriales|D_4_Burkholderiaceae|D_5_Sutterella	C	0.00131229479695953	177	148	0.000326137333050086	0.120018538562431
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Lachnospiraceae NK3A20 group	Children	-0.00011733214111904	177	65	0.000496904704959076	0.146288745139952
Urban2	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Coprococcus 1	B	0.000167058379266201	177	143	0.000714603155791153	0.175315974220763
Urban2	D_0_Archaea|D_1_Euryarchaeota|D_2_Methanobacteria|D_3_Methanobacteriales|D_4_Methanobacteriaceae|D_5_Methanosphaera	C	-1.31702167487105e-05	177	9	0.00170173819912582	0.17836046741956
Urban2	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Muribaculaceae|D_5_CAG-873	C	-0.00205522764436292	177	81	0.00194927168130783	0.17836046741956
Urban2	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_p-2534-18B5 gut group|D_5_uncultured bacterium	C	-0.00346511308976692	177	74	0.00242586384586501	0.17836046741956
Gender	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_p-2534-18B5 gut group|D_5_uncultured bacterium	M	-0.00262012150389546	177	74	0.00208008813010028	0.17836046741956
Age_grp	D_0_Bacteria|D_1_Bacteroidetes|D_2_Bacteroidia|D_3_Bacteroidales|D_4_Prevotellaceae|D_5_Prevotellaceae UCG-003	Children	-0.00350849571080474	177	133	0.00091221632270895	0.17836046741956
Urban2	D_0_Bacteria|D_1_Firmicutes|D_2_Bacilli|D_3_Lactobacillales|D_4_Streptococcaceae|D_5_Streptococcus	B	0.00512916756931127	177	133	0.00154753807633038	0.17836046741956
Urban2	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Lachnospiraceae|D_5_Marvinbryantia	B	-0.00026449616951682	177	96	0.0025325449047286	0.17836046741956
Gender	D_0_Bacteria|D_1_Firmicutes|D_2_Clostridia|D_3_Clostridiales|D_4_Ruminococcaceae|D_5_	M	-0.000289779314340005	177	147	0.00245670632735126	0.17836046741956
Age_grp	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales|D_4_Acidaminococcaceae|D_5_Phascolarctobacterium	Children	-0.000959278325266304	177	166	0.00249663566231947	0.17836046741956
Urban2	D_0_Bacteria|D_1_Firmicutes|D_2_Negativicutes|D_3_Selenomonadales|D_4_Veillonellaceae|D_5_Allisonella	C	6.59247794755793e-05	177	29	0.00254454471182796	0.17836046741956
